[ 2014-10-13T10:43:13+08:00 ] /ak911/ | ERR: (ThinkException) ����Ŀ�����������ܾ����޷����ӡ�
[ 2014-10-13T10:43:38+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ view_parse ] --START--
[ 2014-10-13T10:43:38+08:00 ] /ak911/index.php/Public/News/ | INFO: Run ParseTemplate Behavior [ RunTime:0.011995s ]
[ 2014-10-13T10:43:38+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012086s ]
[ 2014-10-13T10:43:38+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ view_filter ] --START--
[ 2014-10-13T10:43:38+08:00 ] /ak911/index.php/Public/News/ | INFO: Run ContentReplace Behavior [ RunTime:0.000483s ]
[ 2014-10-13T10:43:38+08:00 ] /ak911/index.php/Public/News/ | INFO: Run TokenBuild Behavior [ RunTime:0.000458s ]
[ 2014-10-13T10:43:38+08:00 ] /ak911/index.php/Public/News/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000363s ]
[ 2014-10-13T10:43:38+08:00 ] /ak911/index.php/Public/News/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000527s ]
[ 2014-10-13T10:43:38+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002025s ]
[ 2014-10-13T10:43:38+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ view_end ] --START--
[ 2014-10-13T10:43:38+08:00 ] /ak911/index.php/Public/News/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000474s ]
[ 2014-10-13T10:43:38+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000542s ]
[ 2014-10-13T10:43:39+08:00 ] /ak911/index.php/Fck/users | INFO: Tag[ route_check ] --START--
[ 2014-10-13T10:43:39+08:00 ] /ak911/index.php/Fck/users | INFO: Run CheckRoute Behavior [ RunTime:0.000941s ]
[ 2014-10-13T10:43:39+08:00 ] /ak911/index.php/Fck/users | INFO: Tag[ route_check ] --END-- [ RunTime:0.001042s ]
[ 2014-10-13T10:43:39+08:00 ] /ak911/index.php/Fck/users | INFO: Tag[ app_begin ] --START--
[ 2014-10-13T10:43:39+08:00 ] /ak911/index.php/Fck/users | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000699s ]
[ 2014-10-13T10:43:39+08:00 ] /ak911/index.php/Fck/users | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000782s ]
[ 2014-10-13T10:43:39+08:00 ] /ak911/index.php/Fck/users | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 105 行.
[ 2014-10-13T10:43:39+08:00 ] /ak911/index.php/Fck/users | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 110 行.
[ 2014-10-13T10:43:39+08:00 ] /ak911/index.php/Fck/users | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.009235s ]
[ 2014-10-13T10:43:39+08:00 ] /ak911/index.php/Fck/users | SQL: SELECT `user_id`,`password`,`user_type` FROM `xt_fck` WHERE ( `id` = '1' ) AND ( `user_id` = '100000' ) LIMIT 1   [ RunTime:0.000363s ]
[ 2014-10-13T10:43:39+08:00 ] /ak911/index.php/Fck/users | SQL: SHOW COLUMNS FROM `xt_fee` [ RunTime:0.007840s ]
[ 2014-10-13T10:43:39+08:00 ] /ak911/index.php/Fck/users | SQL: SELECT `i3` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000438s ]
[ 2014-10-13T10:43:39+08:00 ] /ak911/index.php/Fck/users | NOTIC: [8] Undefined index: user_type CommonAction.class.php 第 81 行.
[ 2014-10-13T10:43:39+08:00 ] /ak911/index.php/Fck/users | NOTIC: [8] Undefined index: RID FckAction.class.php 第 1381 行.
[ 2014-10-13T10:43:39+08:00 ] /ak911/index.php/Fck/users | NOTIC: [8] Undefined index: FID FckAction.class.php 第 1382 行.
[ 2014-10-13T10:43:39+08:00 ] /ak911/index.php/Fck/users | NOTIC: [8] Undefined index: TPL FckAction.class.php 第 1383 行.
[ 2014-10-13T10:43:39+08:00 ] /ak911/index.php/Fck/users | SQL: SELECT `user_id`,`is_agent`,`agent_cash` FROM `xt_fck` WHERE ( `id` = '1' ) LIMIT 1   [ RunTime:0.000315s ]
[ 2014-10-13T10:43:39+08:00 ] /ak911/index.php/Fck/users | SQL: SELECT `user_id`,`is_agent` FROM `xt_fck` WHERE ( `id` = 0 ) LIMIT 1   [ RunTime:0.000180s ]
[ 2014-10-13T10:43:39+08:00 ] /ak911/index.php/Fck/users | SQL: SELECT `user_id`,`is_agent` FROM `xt_fck` WHERE ( `id` = 0 ) LIMIT 1   [ RunTime:0.000130s ]
[ 2014-10-13T10:43:39+08:00 ] /ak911/index.php/Fck/users | SQL: SELECT `ID` FROM `xt_fck` WHERE ( `UserID` = '851245' ) LIMIT 1   [ RunTime:0.000106s ]
[ 2014-10-13T10:43:39+08:00 ] /ak911/index.php/Fck/users | SQL: SELECT `ID` FROM `xt_fck` WHERE ( `UserID` = '987283' ) LIMIT 1   [ RunTime:0.000098s ]
[ 2014-10-13T10:43:39+08:00 ] /ak911/index.php/Fck/users | SQL: SELECT `ID` FROM `xt_fck` WHERE ( `UserID` = '726385' ) LIMIT 1   [ RunTime:0.000095s ]
[ 2014-10-13T10:43:39+08:00 ] /ak911/index.php/Fck/users | SQL: SELECT `ID` FROM `xt_fck` WHERE ( `UserID` = '680709' ) LIMIT 1   [ RunTime:0.000097s ]
[ 2014-10-13T10:43:39+08:00 ] /ak911/index.php/Fck/users | SQL: SELECT `ID` FROM `xt_fck` WHERE ( `UserID` = '750500' ) LIMIT 1   [ RunTime:0.000099s ]
[ 2014-10-13T10:43:39+08:00 ] /ak911/index.php/Fck/users | SQL: SELECT `ID` FROM `xt_fck` WHERE ( `UserID` = '637368' ) LIMIT 1   [ RunTime:0.000090s ]
[ 2014-10-13T10:43:39+08:00 ] /ak911/index.php/Fck/users | SQL: SELECT `ID` FROM `xt_fck` WHERE ( `UserID` = '891949' ) LIMIT 1   [ RunTime:0.000094s ]
[ 2014-10-13T10:43:39+08:00 ] /ak911/index.php/Fck/users | SQL: SELECT `ID` FROM `xt_fck` WHERE ( `UserID` = '108432' ) LIMIT 1   [ RunTime:0.000107s ]
[ 2014-10-13T10:43:39+08:00 ] /ak911/index.php/Fck/users | SQL: SELECT `ID` FROM `xt_fck` WHERE ( `UserID` = '528466' ) LIMIT 1   [ RunTime:0.000091s ]
[ 2014-10-13T10:43:39+08:00 ] /ak911/index.php/Fck/users | SQL: SELECT `ID` FROM `xt_fck` WHERE ( `UserID` = '566946' ) LIMIT 1   [ RunTime:0.000096s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | SQL: SHOW COLUMNS FROM `xt_product` [ RunTime:0.060826s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | SQL: SELECT * FROM `xt_product`  [ RunTime:0.000399s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | SQL: SELECT `s2`,`s9`,`i4`,`str29`,`str99` FROM `xt_fee` LIMIT 1   [ RunTime:0.000356s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | NOTIC: [8] Undefined variable: Level FckAction.class.php 第 1483 行.
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | INFO: Tag[ view_template ] --START--
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | INFO: Run LocationTemplate Behavior [ RunTime:0.001767s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | INFO: Tag[ view_template ] --END-- [ RunTime:0.001968s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | INFO: Tag[ view_parse ] --START--
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | INFO: Run ParseTemplate Behavior [ RunTime:0.030178s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | INFO: Tag[ view_parse ] --END-- [ RunTime:0.030343s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | INFO: Tag[ view_filter ] --START--
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | INFO: Run ContentReplace Behavior [ RunTime:0.000760s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | INFO: Run TokenBuild Behavior [ RunTime:0.000777s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000451s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | INFO: Run ShowRuntime Behavior [ RunTime:0.000634s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002865s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | INFO: Tag[ view_end ] --START--
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | INFO: Run ShowPageTrace Behavior [ RunTime:0.000571s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | INFO: Tag[ view_end ] --END-- [ RunTime:0.000644s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | INFO: Tag[ route_check ] --START--
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | INFO: Run CheckRoute Behavior [ RunTime:0.000894s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | INFO: Tag[ route_check ] --END-- [ RunTime:0.000987s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | INFO: Tag[ app_begin ] --START--
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000639s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000719s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 105 行.
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 110 行.
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.022726s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | SQL: SELECT `user_id`,`password`,`user_type` FROM `xt_fck` WHERE ( `id` = '1' ) AND ( `user_id` = '100000' ) LIMIT 1   [ RunTime:0.000502s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | SQL: SHOW COLUMNS FROM `xt_fee` [ RunTime:0.006188s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | SQL: SELECT `i3` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000321s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | NOTIC: [8] Undefined index: user_type CommonAction.class.php 第 81 行.
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | NOTIC: [8] Undefined index: RID FckAction.class.php 第 1381 行.
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | NOTIC: [8] Undefined index: FID FckAction.class.php 第 1382 行.
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | NOTIC: [8] Undefined index: TPL FckAction.class.php 第 1383 行.
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | SQL: SELECT `user_id`,`is_agent`,`agent_cash` FROM `xt_fck` WHERE ( `id` = '1' ) LIMIT 1   [ RunTime:0.002700s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | SQL: SELECT `user_id`,`is_agent` FROM `xt_fck` WHERE ( `id` = 0 ) LIMIT 1   [ RunTime:0.000474s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | SQL: SELECT `user_id`,`is_agent` FROM `xt_fck` WHERE ( `id` = 0 ) LIMIT 1   [ RunTime:0.000495s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | SQL: SELECT `ID` FROM `xt_fck` WHERE ( `UserID` = '922161' ) LIMIT 1   [ RunTime:0.000228s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | SQL: SELECT `ID` FROM `xt_fck` WHERE ( `UserID` = '982833' ) LIMIT 1   [ RunTime:0.000176s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | SQL: SELECT `ID` FROM `xt_fck` WHERE ( `UserID` = '494519' ) LIMIT 1   [ RunTime:0.000172s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | SQL: SELECT `ID` FROM `xt_fck` WHERE ( `UserID` = '297891' ) LIMIT 1   [ RunTime:0.000217s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | SQL: SELECT `ID` FROM `xt_fck` WHERE ( `UserID` = '901397' ) LIMIT 1   [ RunTime:0.000146s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | SQL: SELECT `ID` FROM `xt_fck` WHERE ( `UserID` = '800790' ) LIMIT 1   [ RunTime:0.000130s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | SQL: SELECT `ID` FROM `xt_fck` WHERE ( `UserID` = '508032' ) LIMIT 1   [ RunTime:0.000134s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | SQL: SELECT `ID` FROM `xt_fck` WHERE ( `UserID` = '702078' ) LIMIT 1   [ RunTime:0.000157s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | SQL: SELECT `ID` FROM `xt_fck` WHERE ( `UserID` = '464031' ) LIMIT 1   [ RunTime:0.000155s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | SQL: SELECT `ID` FROM `xt_fck` WHERE ( `UserID` = '209176' ) LIMIT 1   [ RunTime:0.000132s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | SQL: SHOW COLUMNS FROM `xt_product` [ RunTime:0.005157s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | SQL: SELECT * FROM `xt_product`  [ RunTime:0.000466s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | SQL: SELECT `s2`,`s9`,`i4`,`str29`,`str99` FROM `xt_fee` LIMIT 1   [ RunTime:0.000273s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | NOTIC: [8] Undefined variable: Level FckAction.class.php 第 1483 行.
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | INFO: Tag[ view_template ] --START--
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | INFO: Run LocationTemplate Behavior [ RunTime:0.000905s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | INFO: Tag[ view_template ] --END-- [ RunTime:0.000987s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | INFO: Tag[ view_parse ] --START--
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | INFO: Run ParseTemplate Behavior [ RunTime:0.032208s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | INFO: Tag[ view_parse ] --END-- [ RunTime:0.032335s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | INFO: Tag[ view_filter ] --START--
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | INFO: Run ContentReplace Behavior [ RunTime:0.000843s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | INFO: Run TokenBuild Behavior [ RunTime:0.001180s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000566s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | INFO: Run ShowRuntime Behavior [ RunTime:0.000857s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003795s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | INFO: Tag[ view_end ] --START--
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | INFO: Run ShowPageTrace Behavior [ RunTime:0.000874s ]
[ 2014-10-13T10:43:40+08:00 ] /ak911/index.php/Fck/users | INFO: Tag[ view_end ] --END-- [ RunTime:0.001067s ]
